Driver / Operator Type,Incident Time (24:00),Lighting,Roadway Type,Posted Speed Limit (MPH),State,Weather - Clear,Weather - Rain,Weather - Snow,Weather - Cloudy,Weather - Fog/Smoke,Weather - Severe Wind,Roadway Surface,Roadway Description,SV Pre-Crash Movement,CP Pre-Crash Movement,SV Precrash Speed (MPH),Crash With,SV Contact Area - Front,SV Contact Area - Rear,SV Contact Area - Left,SV Contact Area - Right,SV Contact Area - Front Left,SV Contact Area - Front Right,SV Contact Area - Rear Left,SV Contact Area - Rear Right,SV Were All Passengers Belted?,CP Any Air Bags Deployed?,SV Any Air Bags Deployed?,Automation System Engaged?,ADS Equipped?,Make,Model Year,Mileage,CP Was Vehicle Towed?,SV Was Vehicle Towed?,Highest Injury Severity
In-Vehicle (Commercial / Test),10:32,Daylight,Street,25.0,CA , , , ,Y, , ,Dry,No Unusual Conditions,Proceeding Straight,Proceeding Straight,4.0,SUV, ,Y, , , , , ,Y,Yes,Yes,No,ADS,Yes,Jaguar,2021.0,36194.0,Yes,Yes,No Injuries Reported
In-Vehicle (Commercial / Test),12:22,Daylight,Street,30.0,FL ,Y, , , , , ,Dry,No Unusual Conditions,Making Right Turn,Making Right Turn,0.0,SUV, ,Y, , , , , , ,Yes,No,No,ADS,Yes,Ford,2020.0,1278.0,No,Yes,Minor
In-Vehicle (Commercial / Test),9:19,Daylight,Intersection,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Making Right Turn,Proceeding Straight,0.0,SUV, , , , , , ,Y, ,Yes,No,No,ADS,Yes,Jaguar,2021.0,25651.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),17:27,Daylight,Street,45.0,AZ ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Changing Lanes,40.0,SUV, , , , , , ,Y, ,Yes,No,No,ADS,Yes,Jaguar,2021.0,50282.0,No,No,No Injuries Reported
Consumer,17:31,Dark - Not Lighted,Highway / Freeway,65.0,IA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Merging,67.0,Pickup Truck,Y, , , ,Y,Y, , ,Yes,No,Yes,ADAS,No,Subaru,2020.0,58213.0,No,Yes,Minor
Remote (Commercial / Test),5:14,Dark - Lighted,Street,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,"Other, see Narrative",Proceeding Straight,0.0,Passenger Car, , , , , , , ,Y,No Passengers in Vehicle,No,No,ADS,Yes,Cruise,2022.0,3341.0,No,No,No Injuries Reported
Consumer,Unknown,Unknown,Unknown,25.0,NY , , , , , , ,Unknown,Unknown,Unknown,Unknown,3.5,Passenger Car,Y, , , , , , , ,Unknown,Unknown,No,"Unknown, see Narrative",No,Honda,2021.0,18698.0,Unknown,Yes,No Injuries Reported
Consumer,Unknown,Unknown,Intersection,25.0,CA , , , , , , ,Unknown,Unknown,Proceeding Straight,Unknown,3.5,Unknown, , ,Y, , , , , ,Unknown,Unknown,Yes,"Unknown, see Narrative",No,Honda,2020.0,18698.0,Unknown,Yes,Minor
In-Vehicle (Commercial / Test),8:11,Daylight,Intersection,25.0,DC ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,Heavy Truck, ,Y, , , , , , ,Yes,No,No,ADS,Yes,Ford,2020.0,1016.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),16:23,Daylight,Intersection,25.0,MN ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Passing,0.0,SUV, , , , , , ,Y, ,Yes,No,No,ADS,Yes,Ligier,2019.0,5357.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),18:00,Daylight,Highway / Freeway,75.0,TX ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Proceeding Straight,15.0,Pickup Truck, ,Y, , , , , , ,Yes,No,No,ADS,Yes,Kenworth Motor Truck Co,2022.0,10766.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),15:51,Daylight,Intersection,30.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,SUV, ,Y, , , , , , ,Yes,No,No,ADS,Yes,Jaguar,2021.0,10779.0,No,No,No Injuries Reported
Consumer,14:00,Daylight,Highway / Freeway,25.0,MS ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Unknown,70.0,Animal,Y, , , , ,Y, , ,Yes,Unknown,No,ADAS,No,Subaru,2020.0,59316.0,Unknown,Yes,No Injuries Reported
Consumer,13:27,Unknown,Highway / Freeway,25.0,NY , , , , , , ,Unknown,Unknown,Proceeding Straight,Unknown,3.5,Heavy Truck,Y, , , , ,Y, , ,Unknown,Unknown,No,"Unknown, see Narrative",No,BMW,2022.0,2273.0,Unknown,Yes,Minor
In-Vehicle (Commercial / Test),8:14,Daylight,Intersection,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,Passenger Car, ,Y, , , , ,Y,Y,Yes,No,No,ADS,Yes,Jaguar,2021.0,19635.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),1:43,Dark - Lighted,Parking Lot,25.0,AZ ,Y, , , , , ,Dry,No Unusual Conditions,Making Left Turn,"Other, see Narrative",9.0,"Other, see Narrative", , , , , , , , ,Yes,Not Applicable,No,"Unknown, see Narrative",Yes,Jaguar,2021.0,30050.0,Not Applicable,Yes,No Injuries Reported
In-Vehicle (Commercial / Test),10:53,Daylight,Intersection,45.0,CA , , , ,Y, , ,Dry,No Unusual Conditions,Making Right Turn,Unknown,13.0,Other Fixed Object, , , ,Y, , , , ,Yes,Unknown,No,ADS,Yes,Lexus,2017.0,17962.0,Unknown,No,No Injuries Reported
Consumer,Unknown,Unknown,Unknown,25.0,CA , , , , , , ,Unknown,"Other, see Narrative",Parking Maneuver,Parked,3.5,Unknown,Y, , , , , , , ,Unknown,Unknown,Yes,"Unknown, see Narrative",No,Honda,2017.0,18698.0,Unknown,No,No Injuries Reported
Consumer,17:41,Dark - Not Lighted,Highway / Freeway,60.0,OK , , , ,Y, , ,Dry,Work Zone,Proceeding Straight,Unknown,86.0,Other Fixed Object,Y,Y,Y, ,Y,Y,Y, ,Unknown,Unknown,Yes,ADAS,No,Mercedes-Benz,2022.0,11638.0,Unknown,Yes,Serious
Consumer,Unknown,Unknown,Unknown,25.0,MS , , , , , , ,Unknown,Unknown,Unknown,Unknown,3.5,Pickup Truck, , , , , , , , ,Unknown,Unknown,Yes,"Unknown, see Narrative",No,Honda,2020.0,18698.0,Unknown,Yes,No Injuries Reported
Consumer,13:13,Daylight,Highway / Freeway,15.0,VA , , , , , , ,Dry,No Unusual Conditions,Lane / Road Departure,Unknown,30.0,Other Fixed Object, , , , ,Y,Y, , ,Yes,Unknown,No,ADAS,No,Toyota,2023.0,162.0,Unknown,Yes,No Injuries Reported
In-Vehicle (Commercial / Test),11:30,Daylight,Street,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,"Other, see Narrative","Other, see Narrative",2.0,Non-Motorist: Cyclist, , , , , , , ,Y,Yes,Unknown,No,ADS,Yes,Toyota,2016.0,18698.0,Unknown,No,No Injuries Reported
In-Vehicle and Remote (Commercial / Test),10:50,Daylight,Street,40.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Changing Lanes,Unknown,35.0,Other Fixed Object,Y, , , , , , , ,Yes,Unknown,No,ADS,Yes,Hyundai,2021.0,2550.0,Unknown,Yes,No Injuries Reported
Consumer,23:08,Dark - Unknown Lighting,Highway / Freeway,70.0,WI , , , ,Y, , ,Unknown,Unknown,Proceeding Straight,NM Crossing Roadway,3.5,Animal,Y, , , , , , , ,Yes,Unknown,Yes,ADAS,No,Cadillac,2021.0,13069.0,Unknown,Unknown,No Injuries Reported
Consumer,10:21,Daylight,Intersection,45.0,AZ ,Y, , , , , ,Dry,No Unusual Conditions,Making Right Turn,Proceeding Straight,3.5,Passenger Car,Y, , ,Y,Y, , , ,Unknown,No,No,ADAS,No,Ford,2020.0,10449.0,No,Yes,Minor
In-Vehicle (Commercial / Test),15:05,Daylight,Highway / Freeway,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,"Other, see Narrative",Unknown,3.5,Heavy Truck, , , , , , ,Y,Y,Yes,Unknown,No,ADS,Yes,Mercedes-Benz,2022.0,28508.0,No,No,No Injuries Reported
Consumer,16:58,Daylight,Rural Road,55.0,MO ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Making Left Turn,55.0,Unknown,Y, , , ,Y,Y, , ,Yes,Unknown,No,ADAS,No,Subaru,2021.0,51069.0,Unknown,Yes,Minor
In-Vehicle and Remote (Commercial / Test),13:24,Daylight,Street,30.0,CA , , , ,Y, , ,Dry,No Unusual Conditions,Proceeding Straight,Proceeding Straight,4.0,Non-Motorist: Cyclist, ,Y, , , , , , ,Yes,Unknown,No,ADS,Yes,Cruise,2022.0,10025.0,Unknown,No,Serious
Consumer,22:37,Unknown,Highway / Freeway,25.0,CA , , , , , , ,Unknown,Unknown,Unknown,Unknown,3.5,Pickup Truck, , , , , , , , ,Unknown,Unknown,Unknown,"Unknown, see Narrative",No,Tesla,2019.0,18698.0,Unknown,Unknown,Fatality
In-Vehicle (Commercial / Test),23:30,Dark - Lighted,Street,25.0,AZ , , , , , , ,Dry,No Unusual Conditions,Proceeding Straight,"Other, see Narrative",23.0,Animal,Y, , , , , , , ,Yes,Unknown,No,ADS,Yes,Jaguar,2021.0,40181.0,Unknown,No,No Injuries Reported
Consumer,17:00,Unknown,Unknown,25.0,GA , , , , , , ,Unknown,Unknown,Making Right Turn,Unknown,45.0,Other Fixed Object, , , , ,Y, , , ,Unknown,Unknown,No,ADAS,No,Nissan,2021.0,14326.0,Unknown,Yes,Minor
In-Vehicle and Remote (Commercial / Test),8:50,Daylight,Parking Lot,5.0,CA ,Y, , , , , ,Dry,"Other, see Narrative","Other, see Narrative",Parked,1.0,"Other, see Narrative",Y, , , , , , , ,No Passengers in Vehicle,No,No,ADS,Yes,Mercedes-Benz,2021.0,58.0,No,No,Minor
In-Vehicle (Commercial / Test),2:20,Dark - Lighted,Intersection,25.0,CA , , , , , , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,Passenger Car, ,Y, , , , ,Y,Y,Yes,Unknown,No,ADS,Yes,Jaguar,2021.0,11661.0,Unknown,Yes,No Injuries Reported
Consumer,Unknown,Unknown,Highway / Freeway,25.0,PA , , , , , , ,Unknown,Unknown,Merging,Unknown,3.5,Heavy Truck, , , , , , , , ,Unknown,Unknown,No,"Unknown, see Narrative",No,Honda,2020.0,18698.0,Unknown,Yes,Moderate
Consumer,Unknown,Unknown,Unknown,25.0,IL , , , , , , ,Unknown,Unknown,Unknown,Unknown,60.0,Animal, , ,Y, , , , , ,Unknown,Unknown,Yes,"Unknown, see Narrative",No,Honda,2018.0,18698.0,Unknown,Yes,Minor
In-Vehicle (Commercial / Test),7:26,Daylight,Intersection,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,Pickup Truck, ,Y, , , , ,Y,Y,Yes,No,No,ADS,Yes,Jaguar,2021.0,18090.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),11:30,Daylight,Street,45.0,CA , ,Y, ,Y, , ,Wet,"Other, see Narrative",Proceeding Straight,"Other, see Narrative",23.0,"Other, see Narrative", , , , , ,Y, , ,Yes,Not Applicable,No,ADS,Yes,Hyundai,2019.0,54796.0,Not Applicable,No,No Injuries Reported
In-Vehicle (Commercial / Test),15:10,Daylight,Highway / Freeway,25.0,CA ,Y, , , , , ,Dry,"Other, see Narrative",Proceeding Straight,Proceeding Straight,3.5,SUV, ,Y, , , , ,Y,Y,Yes,No,No,"Unknown, see Narrative",Yes,Mercedes-Benz,2022.0,15045.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),22:45,Dark - Unknown Lighting,Street,25.0,NV ,Y, , , , , ,Dry,No Unusual Conditions,Making Right Turn,Unknown,4.0,Other Fixed Object, , , , , ,Y, , ,Yes,Unknown,No,ADS,Yes,Toyota,2016.0,97446.0,Unknown,No,No Injuries Reported
In-Vehicle (Commercial / Test),9:02,Daylight,Street,30.0,AZ ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,Motorcycle, ,Y, , , , , ,Y,Yes,Not Applicable,No,ADS,Yes,Toyota,2021.0,5708.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),5:18,Dark - Not Lighted,Highway / Freeway,75.0,AZ , , , ,Y, , ,Dry,No Unusual Conditions,Changing Lanes,Proceeding Straight,51.0,"Other, see Narrative", , , , , ,Y, , ,Yes,No,No,ADS,Yes,Peterbilt,2021.0,224066.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),12:33,Daylight,Intersection,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Making Right Turn,0.0,Passenger Car, , , , ,Y, , , ,Yes,Unknown,No,ADS,Yes,Jaguar,2021.0,11571.0,Unknown,No,No Injuries Reported
Consumer,05:15,Dark - Lighted,Street,45.0,CA ,Y, , , , , ,Dry,Unknown,Proceeding Straight,Unknown,47.0,Pickup Truck, , , , , , , , ,Unknown,Unknown,Yes,ADAS,No,Tesla,2023.0,590.0,Unknown,Unknown,Fatality
In-Vehicle (Commercial / Test),2:50,Dark - Lighted,Intersection,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Making Left Turn,Traveling Wrong Way,12.0,Passenger Car, , , , ,Y, , , ,Yes,No,No,ADS,Yes,Jaguar,2021.0,30770.0,No,No,No Injuries Reported
Consumer,05:00,Unknown,Highway / Freeway,25.0,FL ,Y, , , , , ,Dry,Unknown,Unknown,Unknown,74.0,First Responder Vehicle,Y, , , ,Y,Y, , ,Unknown,Unknown,Yes,ADAS,No,Tesla,2016.0,82744.0,Unknown,Unknown,Minor
In-Vehicle (Commercial / Test),18:46,Daylight,Street,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Changing Lanes,7.0,Motorcycle, , , , , , , ,Y,Yes,Not Applicable,No,"Unknown, see Narrative",Yes,Cruise,2022.0,8598.0,No,No,Minor
In-Vehicle (Commercial / Test),0:06,Dark - Lighted,Street,30.0,AZ , , , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Stopped,10.0,Passenger Car, , , , , , , ,Y,Yes,No,No,ADS,Yes,Jaguar,2021.0,44439.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),10:08,Daylight,Parking Lot,15.0,CA , , , , , , ,Dry,No Unusual Conditions,Stopped,Making Left Turn,0.0,Van, , , , , , ,Y, ,Yes,No,No,ADS,Yes,Jaguar,2021.0,21943.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),8:55,Daylight,Street,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,Passenger Car, ,Y, , , , , , ,Yes,Unknown,No,ADS,Yes,Toyota,2016.0,32899.0,Unknown,No,No Injuries Reported
Consumer,20:30,Daylight,Highway / Freeway,55.0,SC ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Proceeding Straight,8.0,"Other, see Narrative", ,Y, , , , ,Y,Y,Unknown,Unknown,Unknown,ADAS,No,Tesla,2020.0,18698.0,Unknown,Unknown,Fatality
Consumer,Unknown,Unknown,Unknown,25.0,NY , , , , , , ,Unknown,Unknown,Unknown,Unknown,3.5,Passenger Car, , , , , , , , ,Unknown,Unknown,Unknown,ADAS,No,Tesla,2017.0,15923.0,Unknown,Unknown,Fatality
In-Vehicle (Commercial / Test),12:23,Daylight,Intersection,25.0,CA , , , ,Y, , ,Dry,No Unusual Conditions,Stopped,Backing,0.0,Passenger Car, , , , , , , ,Y,Yes,No,No,"Unknown, see Narrative",Yes,Jaguar,2021.0,14451.0,No,No,No Injuries Reported
Consumer,16:27,Daylight,Highway / Freeway,65.0,MA , , , ,Y, , ,Dry,No Unusual Conditions,Proceeding Straight,Lane / Road Departure,65.0,SUV, , ,Y, , , , , ,Yes,Unknown,Yes,ADAS,No,Cadillac,2018.0,91711.0,Unknown,Unknown,No Injuries Reported
In-Vehicle (Commercial / Test),11:16,Daylight,Street,25.0,IN ,Y, , , , , ,Dry,No Unusual Conditions,Making Right Turn,"Other, see Narrative",6.0,"Other, see Narrative", , , , , ,Y, , ,Yes,Not Applicable,No,ADS,Yes,Lexus,2020.0,4586.0,Not Applicable,No,No Injuries Reported
In-Vehicle (Commercial / Test),8:25,Daylight,Highway / Freeway,65.0,CA ,Y, , , , , ,Dry,"Other, see Narrative",Stopped,Proceeding Straight,3.5,Heavy Truck, ,Y, , , , ,Y,Y,Yes,No,No,ADS,Yes,Mercedes-Benz,2021.0,45380.0,No,No,No Injuries Reported
Remote (Commercial / Test),14:46,Daylight,Street,20.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Stopped,10.0,Bus,Y, , , ,Y,Y, , ,No Passengers in Vehicle,No,No,ADS,Yes,Cruise,2023.0,3604.0,No,Yes,No Injuries Reported
In-Vehicle (Commercial / Test),13:23,Daylight,Intersection,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,Passenger Car, ,Y, , , , ,Y, ,Yes,No,No,ADS,Yes,Jaguar,2021.0,11749.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),8:00,Daylight,Street,25.0,TX ,Y, , , , , ,Dry,No Unusual Conditions,Making Right Turn,Proceeding Straight,0.0,Passenger Car, , , , , , ,Y, ,Yes,No,No,ADS,Yes,Ford,2020.0,2277.0,No,No,No Injuries Reported
Unknown,21:05,Dark - Lighted,Parking Lot,15.0,AZ ,Y, , , , , ,Wet,No Unusual Conditions,Making Right Turn,Unknown,11.0,Other Fixed Object,Y, , ,Y,Y,Y, ,Y,No Passengers in Vehicle,Unknown,No,ADS,Yes,Jaguar,2021.0,47130.0,Unknown,Yes,No Injuries Reported
Remote (Commercial / Test),0:35,Dark - Lighted,Street,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,SUV, , , , , , ,Y, ,"No, see Narrative",No,No,ADS,Yes,Cruise,2023.0,2109.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),10:07,Daylight,Street,25.0,CA , ,Y, , , , ,Wet,No Unusual Conditions,Stopped,Backing,0.0,Passenger Car,Y, , , , , , , ,Yes,No,No,ADS,Yes,Jaguar,2021.0,24352.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),11:11,Daylight,Street,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Crossing into Opposing Lane,0.0,SUV, , , , , , ,Y, ,Yes,No,No,ADS,Yes,Jaguar,2021.0,4737.0,No,No,No Injuries Reported
Remote (Commercial / Test),23:23,Dark - Lighted,Street,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,Passenger Car, , ,Y, ,Y, , , ,No Passengers in Vehicle,Unknown,No,ADS,Yes,Cruise,2023.0,1239.0,Unknown,Yes,No Injuries Reported
Remote (Commercial / Test),14:46,Daylight,Street,20.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Stopped,10.0,Bus,Y, , , ,Y,Y, , ,No Passengers in Vehicle,No,No,ADS,Yes,Cruise,2023.0,3604.0,No,Yes,No Injuries Reported
In-Vehicle (Commercial / Test),16:16,Daylight,Street,25.0,MI ,Y, , , , , ,Dry,No Unusual Conditions,"Other, see Narrative",Proceeding Straight,18.0,Passenger Car, ,Y, , , , ,Y,Y,Yes,No,No,ADS,Yes,Lexus,2020.0,28420.0,Yes,No,No Injuries Reported
In-Vehicle (Commercial / Test),10:25,Daylight,Intersection,30.0,AZ , , , ,Y, , ,Dry,No Unusual Conditions,Lane / Road Departure,Unknown,18.0,Other Fixed Object,Y, , ,Y,Y,Y, , ,Yes,Unknown,No,ADS,Yes,Chrysler,2017.0,52590.0,Unknown,Yes,No Injuries Reported
Consumer,Unknown,Unknown,Unknown,25.0,CA , , , , , , ,Unknown,Unknown,Proceeding Straight,Stopped,3.5,Heavy Truck,Y, , , , , , , ,Unknown,Unknown,Yes,"Unknown, see Narrative",No,Honda,2018.0,18698.0,Unknown,Yes,No Injuries Reported
Consumer,Unknown,Unknown,Intersection,25.0,NY , , , , , , ,Unknown,Unknown,Proceeding Straight,Unknown,3.5,Unknown, , , , , , , , ,Unknown,Unknown,Yes,"Unknown, see Narrative",No,Acura,2021.0,18698.0,Unknown,Yes,No Injuries Reported
In-Vehicle (Commercial / Test),23:34,Dark - Lighted,Street,25.0,NV ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Changing Lanes,0.0,Passenger Car, ,Y, , , , , , ,Yes,No,No,ADS,Yes,Toyota,2016.0,58804.0,No,No,No Injuries Reported
Consumer,Unknown,Unknown,Intersection,25.0,DE , , , , , , ,Unknown,Unknown,Stopped,Stopped,3.5,Passenger Car, ,Y, , , , , , ,Unknown,Unknown,No,"Unknown, see Narrative",No,Acura,2019.0,40000.0,Unknown,Yes,No Injuries Reported
Consumer,Unknown,Unknown,Unknown,25.0,VA , , , , , , ,Unknown,Unknown,Unknown,Unknown,3.5,Unknown,Y,Y, , , , , , ,Unknown,Unknown,Yes,"Unknown, see Narrative",No,Honda,2021.0,18698.0,Unknown,Unknown,No Injuries Reported
In-Vehicle (Commercial / Test),13:23,Daylight,Intersection,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,Passenger Car, ,Y, , , , ,Y, ,Yes,No,No,ADS,Yes,Jaguar,2021.0,11749.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),8:51,Daylight,Street,25.0,DC , , , ,Y, , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,Passenger Car, ,Y, , , , , , ,Yes,No,No,ADS,Yes,Ford,2019.0,13277.0,No,No,No Injuries Reported
In-Vehicle and Remote (Commercial / Test),0:13,Dark - Lighted,Street,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,"Other, see Narrative",Proceeding Straight,1.0,Passenger Car, ,Y, , , , ,Y,Y,Yes,No,No,ADS,Yes,Cruise,2022.0,2561.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),8:27,Daylight,Intersection,15.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,"Other, see Narrative",6.0,"Other, see Narrative", , , , , , , , ,Yes,Not Applicable,No,ADS,Yes,Jaguar,2021.0,28333.0,Not Applicable,No,No Injuries Reported
Consumer,12:00,Unknown,Highway / Freeway,65.0,CA , , , , , , ,Unknown,Unknown,Proceeding Straight,Unknown,3.5,Other Fixed Object, , , , , , , , ,Yes,Unknown,Unknown,ADAS,No,Hyundai,2023.0,18698.0,Unknown,Yes,Minor
In-Vehicle (Commercial / Test),7:30,Daylight,Intersection,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Entering Traffic,Passing,8.0,Pickup Truck, , , , ,Y, , , ,Yes,Unknown,No,ADS,Yes,Jaguar,2021.0,5582.0,Unknown,No,No Injuries Reported
In-Vehicle (Commercial / Test),19:00,Dark - Lighted,Street,40.0,AZ ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Proceeding Straight,1.0,Passenger Car, ,Y, , , , ,Y,Y,Yes,No,No,ADS,Yes,Jaguar,2021.0,44094.0,No,No,Minor
In-Vehicle (Commercial / Test),18:33,Dawn / Dusk,Highway / Freeway,65.0,TX , , , ,Y, , ,Dry,No Unusual Conditions,Proceeding Straight,Changing Lanes,61.0,Heavy Truck, , , , ,Y, , , ,Yes,No,No,ADS,Yes,Peterbilt,2021.0,194446.0,No,No,No Injuries Reported
Consumer,8:36,Daylight,Highway / Freeway,60.0,OH , ,Y, , , , ,Wet,No Unusual Conditions,Proceeding Straight,Proceeding Straight,65.0,Passenger Car, ,Y, , , , , , ,Yes,Yes,No,ADAS,No,Subaru,2020.0,25486.0,Yes,Yes,Minor
Consumer,Unknown,Unknown,Intersection,25.0,VA , , , , , , ,Unknown,Unknown,Proceeding Straight,Unknown,3.5,Unknown, , ,Y, , , , , ,Unknown,Unknown,Yes,"Unknown, see Narrative",No,Honda,2018.0,18698.0,Unknown,Yes,No Injuries Reported
Remote (Commercial / Test),20:13,Dark - Lighted,Street,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Backing,0.0,Passenger Car, , , , ,Y, , , ,No Passengers in Vehicle,Unknown,No,ADS,Yes,Cruise,2023.0,2293.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),14:40,Daylight,Intersection,45.0,NV ,Y, , , , , ,Dry,No Unusual Conditions,Merging,Merging,0.0,Pickup Truck, ,Y, , , , ,Y,Y,Yes,No,No,ADS,Yes,Toyota,2016.0,111324.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),11:11,Daylight,Street,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Crossing into Opposing Lane,0.0,SUV, , , , , , ,Y, ,Yes,No,No,ADS,Yes,Jaguar,2021.0,4737.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),11:19,Daylight,Intersection,25.0,CA ,Y, , , , , ,Dry,Work Zone,Stopped,"Other, see Narrative",0.0,"Other, see Narrative", , , , , , , ,Y,Yes,No,No,ADS,Yes,Toyota,2017.0,43963.0,No,No,No Injuries Reported
Consumer,07:05,Unknown,Highway / Freeway,25.0,CA , , , , , , ,Unknown,Work Zone,Lane / Road Departure,Unknown,70.0,Other Fixed Object,Y, , , , ,Y, , ,Unknown,Unknown,Yes,ADAS,No,BMW,2022.0,5135.0,Unknown,Yes,Minor
Remote (Commercial / Test),4:29,Dark - Lighted,Street,20.0,CA , ,Y, , , , ,Wet,"Other, see Narrative",Proceeding Straight,"Other, see Narrative",15.0,"Other, see Narrative",Y, , , ,Y,Y, , ,No Passengers in Vehicle,Not Applicable,No,ADS,Yes,Cruise,2022.0,2733.0,Not Applicable,Yes,No Injuries Reported
Consumer,Unknown,Unknown,Unknown,25.0,TN , , , , , , ,Unknown,Unknown,Proceeding Straight,Unknown,3.5,Unknown, , ,Y, , , , , ,Unknown,Unknown,Yes,"Unknown, see Narrative",No,Honda,2021.0,18698.0,Unknown,Yes,No Injuries Reported
In-Vehicle (Commercial / Test),23:30,Dark - Lighted,Street,25.0,AZ , , , , , , ,Dry,No Unusual Conditions,Proceeding Straight,"Other, see Narrative",23.0,Animal,Y, , , , , , , ,Yes,Unknown,No,ADS,Yes,Jaguar,2021.0,40181.0,Unknown,No,No Injuries Reported
In-Vehicle and Remote (Commercial / Test),10:50,Daylight,Street,40.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Changing Lanes,Unknown,35.0,Other Fixed Object,Y, , , , , , , ,Yes,Unknown,No,ADS,Yes,Hyundai,2021.0,2550.0,Unknown,No,No Injuries Reported
In-Vehicle (Commercial / Test),20:00,Daylight,Parking Lot,15.0,WY ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Backing,8.0,Passenger Car, , , , , ,Y, , ,No Passengers in Vehicle,No,No,ADS,Yes,Local Motors,2019.0,1821.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),15:15,Daylight,Intersection,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Making Right Turn,Making Right Turn,0.0,Passenger Car, ,Y, , , , , , ,Yes,No,No,ADS,Yes,Lexus,2016.0,39990.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),11:03,Daylight,Street,45.0,AZ ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Changing Lanes,45.0,Passenger Car, , , , , ,Y, , ,Yes,No,No,ADS,Yes,Jaguar,2021.0,38984.0,No,No,No Injuries Reported
