Driver / Operator Type,Incident Time (24:00),Lighting,Roadway Type,Posted Speed Limit (MPH),State,Weather - Clear,Weather - Rain,Weather - Snow,Weather - Cloudy,Weather - Fog/Smoke,Weather - Severe Wind,Roadway Surface,Roadway Description,SV Pre-Crash Movement,CP Pre-Crash Movement,SV Precrash Speed (MPH),Crash With,SV Contact Area - Front,SV Contact Area - Rear,SV Contact Area - Left,SV Contact Area - Right,SV Contact Area - Front Left,SV Contact Area - Front Right,SV Contact Area - Rear Left,SV Contact Area - Rear Right,SV Were All Passengers Belted?,CP Any Air Bags Deployed?,SV Any Air Bags Deployed?,Automation System Engaged?,ADS Equipped?,Make,Model Year,Mileage,CP Was Vehicle Towed?,SV Was Vehicle Towed?,Highest Injury Severity
Consumer,3:09,Unknown,Traffic Circle,24.923287534655802,KY , , ,Y, , , ,Unknown,Unknown,Stopped,Unknown,3.365690573068035,Pole / Tree, ,Y, , , , , , ,Unknown,Unknown,Unknown,ADAS,No,Tesla,2019.0810289032008,18697.86739371228,Unknown,Unknown,Fatality
Consumer,08:00,Unknown,Parking Lot,25.039513613274124,CA ,Y, , , , , ,Unknown,Unknown,Unknown,Unknown,3.3642386416818146,Pole / Tree, , , , , , , , ,Unknown,Unknown,Unknown,ADAS,No,Tesla,2019.2306626832083,18698.056266793188,Unknown,Unknown,Fatality
Consumer,12:33,Daylight,Unknown,25.064165993041712,CT , , ,Y, , , ,Unknown,Unknown,Unknown,Proceeding Straight,3.3270602184979925,Unknown, , , , , , , , ,Unknown,Unknown,Unknown,ADAS,No,Tesla,2017.8067012608803,18697.826096878474,Unknown,Unknown,Fatality
Consumer,00:06,Unknown,Unknown,24.970169077178785,NJ ,Y, , , , , ,Unknown,Unknown,Unknown,Unknown,3.3589255943114913,Unknown, , , , , , , , ,Yes,Unknown,Unknown,ADAS,No,Tesla,2018.318373916413,18698.007970439743,Unknown,Unknown,Fatality
Consumer,10:21,Unknown,Highway / Freeway,24.983620960061618,CO , , , ,Y, , ,Unknown,Unknown,Unknown,Unknown,3.6194749148598615,SUV, , , , , , , , ,Unknown,Unknown,Unknown,ADAS,No,Tesla,2018.4548978954103,18697.80842754517,Unknown,Yes,Fatality
Consumer,00:06,Unknown,Unknown,25.066596458669068,NJ , , , , , , ,Unknown,Unknown,Unknown,Unknown,3.4351038160147414,Unknown, , , , , , , , ,Unknown,Unknown,Unknown,ADAS,No,Tesla,2017.970647877174,18698.06556870952,Unknown,Unknown,Fatality
Consumer,00:06,Unknown,Unknown,25.06953196179054,NJ , , , , , , ,Wet,Unknown,Unknown,Unknown,3.463276235886952,Unknown, , , , , , , , ,Unknown,Unknown,Unknown,ADAS,No,Tesla,2017.88319124277,18698.11540887671,Unknown,Unknown,Fatality
Consumer,10:50,"Other, see Narrative",Street,30.962054559311902,CA ,Y, , , , , ,Snow / Slush / Ice,"Other, see Narrative",Stopped,Stopped,6.237400665157014,Pole / Tree, , , , , , ,Y, ,Unknown,Unknown,Unknown,ADS,No,Tesla,2018.801275780027,18698.007107028316,Unknown,Unknown,Fatality
Consumer,1:55,Unknown,Highway / Freeway,24.987330755554716,MN , , , , , , ,Unknown,Unknown,Stopped,Unknown,3.3606402387607384,Unknown, , , , , , , , ,Unknown,Unknown,Unknown,ADAS,No,Tesla,2019.7263290871042,18698.026418372036,Unknown,Unknown,Fatality
Consumer,00:06,Dark - Lighted,Highway / Freeway,24.930507949218924,NJ , , , , , , ,Unknown,Unknown,Unknown,Unknown,3.5317461641740326,Unknown, , , , ,Y, , , ,Unknown,Unknown,Yes,ADAS,No,Tesla,2017.921968604591,18698.213474667817,Unknown,Unknown,Fatality
Consumer,16:11,Unknown,Unknown,25.148113191603436,FL , , , , , , ,Unknown,Unknown,Stopped,Unknown,3.5457857518470663,Other Fixed Object, , , , , , , , ,Unknown,Unknown,Unknown,ADAS,No,Tesla,2017.9314306110634,18698.001099144785,Unknown,Unknown,Fatality
Consumer,07:30,Unknown,Traffic Circle,25.02170965263985,MA ,Y, , , , , ,Unknown,Unknown,Proceeding Straight,Unknown,3.343348393193835,SUV, , , , ,Y, , , ,Unknown,Unknown,Unknown,ADAS,No,Tesla,2019.812691010293,18698.128812901406,Unknown,Unknown,Fatality
Consumer,22:15,Daylight,Highway / Freeway,36.16134575388105,CA ,Y, , , , , ,Unknown,No Unusual Conditions,Proceeding Straight,Unknown,5.691509297498279,Pickup Truck, , , , ,Y,Y, , ,Unknown,Unknown,Yes,ADAS,No,Tesla,2021.0394630643837,41746.62874324197,Unknown,Unknown,Fatality
Consumer,16:30,Dawn / Dusk,Highway / Freeway,36.92483579550819,CA ,Y, , , , , ,Snow / Slush / Ice,Traffic Incident,Unknown,Traveling Wrong Way,3.564547324183078,Non-Motorist: Cyclist, , , , , ,Y, , ,Unknown,Unknown,Yes,ADAS,No,Tesla,2021.1078894192437,45969.43828743828,Unknown,Unknown,Fatality
Consumer,21:49,Daylight,Intersection,29.189006759501563,DE ,Y, , , , , ,Snow / Slush / Ice,Unknown,Unknown,Traveling Wrong Way,13.305236983746207,Non-Motorist: Other, ,Y, ,Y, ,Y,Y,Y,Unknown,Unknown,Yes,ADAS,No,Tesla,2021.021510032667,62510.2008979025,Unknown,Unknown,Fatality
Consumer,18:39,Unknown,Parking Lot,29.3124014717623,DE , ,Y, , , , ,Dry,Traffic Incident,Parking Maneuver,Unknown,10.411506045119543,"Other, see Narrative", , ,Y, ,Y,Y, ,Y,Unknown,Unknown,Yes,ADAS,No,Toyota,2020.7690225606993,63941.991568595375,Unknown,Unknown,Fatality
Consumer,22:23,Unknown,Highway / Freeway,24.80696103382409,NJ , ,Y, , , , ,Unknown,Unknown,Unknown,Unknown,3.3595957048799483,Unknown, , , ,Y, , , , ,Unknown,Unknown,Yes,ADAS,No,Tesla,2020.8459310129824,51967.2418215477,Unknown,Unknown,Fatality
Consumer,22:37,Unknown,Highway / Freeway,24.92154119208766,CA , ,Y, , , , ,Unknown,Unknown,Unknown,Unknown,3.2832720713587147,SUV, , , , , , , , ,Unknown,Unknown,Not Applicable,"Unknown, see Narrative",No,Tesla,2020.416703263522,44680.324033841025,Unknown,Unknown,Fatality
Consumer,Unknown,Dark - Not Lighted,Highway / Freeway,28.821705713979828,NJ , ,Y, , , , ,Dry,Traffic Incident,Proceeding Straight,NM in Roadway - Other,3.370202200991444,Non-Motorist: Pedestrian, ,Y, , , ,Y, , ,Unknown,Unknown,Unknown,ADAS,No,Tesla,2021.0244584443271,50671.55428022979,Unknown,Unknown,Fatality
Consumer,20:40,Dawn / Dusk,Unknown,37.6310950330226,CA , , , ,Y, , ,Snow / Slush / Ice,No Unusual Conditions,Unknown,Traveling Wrong Way,3.63562562173765,Other Fixed Object, , , , ,Y, , , ,Unknown,Unknown,Yes,ADAS,No,Tesla,2021.1259749260078,50188.826519067574,Unknown,Unknown,Fatality
Consumer,22:12,"Other, see Narrative",Highway / Freeway,36.40124366764344,CA , , , ,Y, , ,Snow / Slush / Ice,Traffic Incident,Proceeding Straight,Passing,24.414517101839596,SUV, , , ,Y,Y, , , ,Unknown,Not Applicable,Yes,ADAS,No,Tesla,2021.118987725249,43224.51342117411,Unknown,Unknown,Fatality
Consumer,19:00,Unknown,Intersection,29.44776991371774,DC , , , , , , ,Snow / Slush / Ice,"Other, see Narrative",Parking Maneuver,Stopped,54.42762906419013,Non-Motorist: Cyclist, , ,Y,Y, , , , ,Unknown,Unknown,Yes,ADAS,No,Tesla,2019.2292379212236,56328.070456494024,Unknown,Yes,Fatality
Consumer,22:15,"Other, see Narrative",Highway / Freeway,59.62861037685383,CA ,Y, , , , , ,Unknown,No Unusual Conditions,Unknown,Stopped,29.917673925302996,Unknown, , , , ,Y,Y, , ,Unknown,Unknown,Yes,ADAS,No,Tesla,2021.9011772732931,46010.93094813121,Unknown,Unknown,Fatality
Consumer,21:49,"Other, see Narrative",Parking Lot,26.058657750721867,DC ,Y, , , , , ,"Other, see Narrative",Traffic Incident,Parking Maneuver,Passing,53.72611874794172,Pickup Truck, , , ,Y,Y, ,Y,Y,Unknown,Unknown,Yes,ADAS,No,Tesla,2020.3213392758846,57047.23106116623,Unknown,Unknown,Fatality
Consumer,22:12,Unknown,Highway / Freeway,25.70213172072666,CA , , ,Y, , , ,Dry,Unknown,Stopped,Passing,43.620548607525215,Pole / Tree, , , , ,Y,Y,Y, ,Unknown,Unknown,Yes,ADAS,No,Tesla,2021.8538220901503,46925.49836559166,Unknown,Unknown,Fatality
Consumer,22:23,Unknown,Highway / Freeway,25.118843803957624,CA , , , , , , ,Unknown,Unknown,Proceeding Straight,Unknown,3.5489737240129235,Unknown, , , , , , , ,Y,Unknown,Unknown,Yes,ADAS,No,Tesla,2021.1152041273565,51966.80357083068,Unknown,Unknown,Fatality
Consumer,22:15,"Other, see Narrative",Highway / Freeway,62.65496352546177,CA ,Y, , , , , ,Snow / Slush / Ice,Unknown,Stopped,Unknown,6.095013637489896,Unknown, , , , , , , , ,Unknown,Unknown,Yes,ADAS,No,Tesla,2021.165455735244,51184.11864341098,Unknown,Yes,Fatality
Consumer,Unknown,Daylight,Intersection,26.554938710582906,DE , , , ,Y, , ,"Other, see Narrative",Unknown,Unknown,"Other, see Narrative",59.2100181205886,Non-Motorist: Pedestrian, ,Y, , , , , ,Y,Unknown,Unknown,Yes,ADAS,No,Toyota,2016.996660841195,67426.21074168161,Unknown,Unknown,Fatality
Consumer,22:12,Unknown,Street,28.45978918920752,DC ,Y, , , , , ,Dry,"Other, see Narrative",Unknown,Traveling Wrong Way,31.728350953859977,Pickup Truck,Y, , , , ,Y,Y, ,Unknown,Unknown,Yes,ADAS,No,Tesla,2021.0301521503918,54697.86081127075,Unknown,Unknown,Fatality
Consumer,1:16,Daylight,Parking Lot,27.145175267051762,CO ,Y, , , , , ,"Other, see Narrative",No Unusual Conditions,Proceeding Straight,Proceeding Straight,41.205830988647016,Passenger Car, , , ,Y, , ,Y,Y,Unknown,Unknown,Yes,ADAS,No,Tesla,2020.0305246125358,58331.3130325227,Unknown,Yes,Fatality
Consumer,22:25,Unknown,Highway / Freeway,24.752562370013496,CA , , , , , , ,Unknown,Unknown,Unknown,Unknown,3.303456688125836,Pole / Tree, , , , ,Y, , , ,Unknown,Unknown,Yes,ADS,No,Tesla,2020.9724009574945,37162.59908119645,Unknown,Unknown,Fatality
Consumer,21:10,"Other, see Narrative",Highway / Freeway,28.817918496711616,CA , , ,Y, , , ,Snow / Slush / Ice,Unknown,Stopped,Passing,5.878927602658876,Heavy Truck, , ,Y, , , , ,Y,Unknown,Unknown,Yes,ADAS,No,Tesla,2017.520251302751,64758.32670367639,Unknown,Unknown,Fatality
Consumer,22:23,Unknown,Highway / Freeway,25.018809959633007,NY , , , , , , ,Unknown,Unknown,Unknown,Unknown,3.5100437394343937,First Responder Vehicle, , , , , , , , ,Unknown,Unknown,Yes,ADAS,No,Tesla,2020.92678867507,51966.843953588716,Unknown,Unknown,Fatality
Consumer,11:53,Daylight,Highway / Freeway,65.01239510038559,CA , , ,Y, , , ,Unknown,Unknown,Proceeding Straight,Unknown,71.21590580528958,First Responder Vehicle, , , , , , , , ,Unknown,Unknown,Yes,ADAS,No,Ford,2014.0478521217126,99804.00618635569,Unknown,Yes,Fatality
Consumer,11:53,Unknown,Highway / Freeway,65.06808209252513,CA , , , , , , ,Unknown,Unknown,Unknown,Unknown,71.13387676010638,First Responder Vehicle, , , , , , , ,Y,Unknown,Unknown,Yes,ADAS,No,Tesla,2014.0205896348257,99803.9317222531,Unknown,Yes,Fatality
Consumer,11:53,Dark - Unknown Lighting,Highway / Freeway,64.90829921803318,CA ,Y, , , , , ,"Other, see Narrative",Traffic Incident,Proceeding Straight,Traveling Wrong Way,63.11282798929713,"Other, see Narrative", , , , , ,Y, , ,Unknown,Not Applicable,Yes,ADAS,No,Tesla,2015.1942248435314,68112.5769894008,Unknown,Yes,Fatality
Consumer,15:15,"Other, see Narrative",Intersection,53.610077517197375,DC ,Y, , , , , ,Snow / Slush / Ice,"Other, see Narrative","Other, see Narrative",Stopped,68.76498988424667,Motorcycle, ,Y,Y, ,Y,Y, , ,Unknown,Unknown,Yes,ADAS,No,Tesla,2014.381894568325,78355.75321788828,Unknown,Yes,Fatality
Consumer,14:46,Unknown,Street,65.74709889530568,CA ,Y, , , , , ,"Other, see Narrative",Unknown,Proceeding Straight,Proceeding Straight,52.35914835803578,Non-Motorist: Cyclist, , , , ,Y, , , ,Unknown,Unknown,Yes,ADAS,No,Tesla,2014.533249269825,88311.02601058404,Unknown,Unknown,Fatality
Consumer,12:24,Unknown,Unknown,25.27934545101928,CA , , , ,Y, , ,Dry,Unknown,Stopped,Unknown,46.597688380829176,"Other, see Narrative", , , , , , , , ,Unknown,Unknown,Yes,ADAS,No,Tesla,2017.6124082482213,70766.45261192453,Unknown,Yes,Fatality
Consumer,11:46,Unknown,Highway / Freeway,64.95277571233326,CA ,Y, , , , , ,"Other, see Narrative",Traffic Incident,Proceeding Straight,"Other, see Narrative",54.18052366423466,Heavy Truck,Y, , , , ,Y, , ,Unknown,Unknown,Yes,ADAS,No,Tesla,2016.6609177731953,88973.7446675723,Unknown,Yes,Fatality
Consumer,11:53,Unknown,Unknown,64.96817100198774,CA , , , ,Y, , ,Unknown,Unknown,Proceeding Straight,Unknown,70.9415984338584,First Responder Vehicle, , , , , , , , ,Unknown,Unknown,Yes,ADAS,No,Tesla,2014.0474925511357,99803.82247424607,Unknown,Yes,Fatality
Consumer,11:53,Unknown,Unknown,64.96576676107775,CA , , , , , , ,Unknown,Unknown,Proceeding Straight,Unknown,70.93994430047277,First Responder Vehicle,Y, , , , , , , ,Unknown,Unknown,Yes,ADAS,No,Tesla,2014.060211686765,99804.24474111911,Unknown,Yes,Fatality
Consumer,11:53,Daylight,Highway / Freeway,64.88424315897282,AZ ,Y, , , , , ,Snow / Slush / Ice,Unknown,Proceeding Straight,Unknown,46.50576812785415,Motorcycle, , , , , , , , ,Unknown,Unknown,Yes,ADAS,No,Tesla,2015.680570610761,62601.1649778657,Unknown,Unknown,Fatality
Consumer,11:53,Unknown,Highway / Freeway,65.08269572714617,CA , , , , , , ,Unknown,Unknown,Proceeding Straight,Unknown,71.16071076859127,First Responder Vehicle, , , , , , , ,Y,Unknown,Unknown,Yes,ADAS,No,Tesla,2014.0372206186819,99804.01140278381,Unknown,Unknown,Fatality
Consumer,18:46,Daylight,Highway / Freeway,67.57931559232833,CA ,Y, , , , , ,Dry,Traffic Incident,Proceeding Straight,Parked,53.804539861788534,Motorcycle, , , , , , , , ,Unknown,Unknown,Unknown,ADAS,No,Tesla,2020.154464971929,97517.96146532231,Unknown,Unknown,Fatality
Consumer,11:53,Unknown,Highway / Freeway,65.04561330833002,CA , , , , , , ,Unknown,Traffic Incident,Proceeding Straight,Unknown,70.9689021072855,Pole / Tree, ,Y, , , , , , ,Unknown,Unknown,Yes,ADAS,No,Tesla,2014.2279729667287,99803.85344402825,Unknown,Unknown,Fatality
Consumer,13:54,Dark - Lighted,Highway / Freeway,67.03062019779006,CA ,Y, , , , , ,"Other, see Narrative",Unknown,Unknown,Unknown,59.782200744296304,Motorcycle,Y, , , , , , , ,Unknown,Unknown,Yes,ADAS,No,Tesla,2016.9438666302465,57351.90986844734,Yes,Yes,Fatality
Consumer,17:20,Unknown,Parking Lot,59.61069474029435,CT ,Y, , , , , ,"Other, see Narrative",Unknown,Parking Maneuver,Traveling Wrong Way,65.22737967418554,Pickup Truck,Y, , ,Y, ,Y, , ,Unknown,Unknown,Yes,ADAS,No,Tesla,2014.7675934952256,94416.46393878286,Unknown,Yes,Fatality
Consumer,22:12,Unknown,Highway / Freeway,65.00082024517306,CA , , , ,Y, , ,Unknown,Unknown,Proceeding Straight,Unknown,71.0091455686224,Bus,Y, , , , , , , ,Unknown,Unknown,Yes,ADAS,No,Tesla,2013.924835220544,99804.12383135712,Unknown,Yes,Fatality
Consumer,17:05,Daylight,Highway / Freeway,66.77492592215005,CA ,Y, , , , , ,Unknown,Unknown,Proceeding Straight,Traveling Wrong Way,69.33272427061222,Passenger Car,Y, , , ,Y, , , ,Unknown,Unknown,Yes,ADAS,No,Tesla,2020.8216223610127,79574.98425860149,Unknown,Yes,Fatality
Consumer,11:53,Daylight,Highway / Freeway,64.89661371159409,CA , ,Y, , , , ,"Other, see Narrative",Traffic Incident,Proceeding Straight,"Other, see Narrative",51.388855276178234,Motorcycle, , , , ,Y,Y, , ,Unknown,Unknown,Yes,ADAS,No,Tesla,2015.5172384116913,93475.90163128702,Unknown,Yes,Fatality
Consumer,12:35,"Other, see Narrative",Highway / Freeway,66.27319659353341,CA ,Y, , , , , ,"Other, see Narrative",Unknown,Proceeding Straight,Proceeding Straight,48.96622168879624,Passenger Car,Y, , , ,Y, , , ,Unknown,Unknown,Yes,ADAS,No,Tesla,2017.7286872159834,89179.84932453658,Unknown,Unknown,Fatality
Consumer,19:00,Unknown,Highway / Freeway,67.51480882381023,CA ,Y, , , , , ,"Other, see Narrative",Unknown,Proceeding Straight,Stopped,59.04433610510169,Heavy Truck, , , , , , , , ,Unknown,Unknown,Yes,ADAS,No,Tesla,2016.6090827662624,40173.77178603324,Unknown,Yes,Fatality
Consumer,22:15,Unknown,Highway / Freeway,42.789693303947374,CA , , ,Y, , , ,Unknown,Unknown,Stopped,Unknown,56.347086190908904,Unknown, , , , , , , , ,Unknown,Unknown,Unknown,ADAS,No,Tesla,2019.2013324436766,66644.30107132126,Unknown,Yes,Fatality
Consumer,1:16,Daylight,Parking Lot,53.12666955244736,NJ ,Y, , , , , ,Dry,Traffic Incident,Proceeding Straight,Parked,59.03736712784095,Passenger Car,Y, ,Y, ,Y,Y, ,Y,Unknown,Unknown,Yes,ADAS,No,Tesla,2017.362116021886,58693.48360683397,Unknown,Unknown,Fatality
Consumer,Unknown,Daylight,Parking Lot,30.03975943950649,FL ,Y, , , , , ,Dry,No Unusual Conditions,"Other, see Narrative",Parked,63.95701151019143,Motorcycle, , ,Y, ,Y,Y,Y,Y,Unknown,Unknown,Yes,ADAS,No,Tesla,2015.189214826045,72290.1513615164,Unknown,Unknown,Fatality
Consumer,21:45,"Other, see Narrative",Intersection,25.4745444038047,CO ,Y, , , , , ,Snow / Slush / Ice,No Unusual Conditions,Parking Maneuver,Unknown,60.69500755890902,Non-Motorist: Other, ,Y,Y, ,Y,Y,Y, ,Unknown,Unknown,Yes,ADAS,No,Tesla,2017.2225194311463,57372.262840054296,Unknown,Yes,Fatality
Consumer,17:57,Daylight,Parking Lot,30.041266735527827,FL ,Y, , , , , ,Dry,No Unusual Conditions,"Other, see Narrative",Parked,63.70897020272936,First Responder Vehicle,Y,Y,Y, ,Y, ,Y,Y,Unknown,Unknown,Yes,ADAS,No,Tesla,2014.8326976554347,72289.98203301968,Unknown,Yes,Fatality
Consumer,22:15,Unknown,Intersection,26.268042885084153,CT ,Y, , , , , ,Unknown,No Unusual Conditions,Parking Maneuver,Stopped,22.417300988349808,Other Fixed Object,Y, ,Y,Y, , ,Y, ,Unknown,Unknown,Yes,ADAS,No,Tesla,2019.0261936618542,55259.71872836683,Unknown,Unknown,Fatality
Consumer,20:30,Daylight,Highway / Freeway,58.45372504661152,DC ,Y, , , , , ,Dry,Traffic Incident,Proceeding Straight,Parked,62.21116537448085,Non-Motorist: Cyclist,Y,Y, , ,Y, ,Y, ,Unknown,Unknown,Yes,ADAS,No,Tesla,2016.4725951127875,54863.77713434071,Unknown,Unknown,Fatality
Consumer,22:37,Daylight,Parking Lot,30.00017973638025,FL ,Y, , , , , ,Dry,No Unusual Conditions,"Other, see Narrative",Unknown,64.18680212943111,Heavy Truck,Y,Y,Y, ,Y,Y,Y,Y,Unknown,Unknown,Yes,ADAS,No,Tesla,2015.0930031022106,72290.25894496849,Unknown,Yes,Fatality
Consumer,22:12,Unknown,Intersection,49.28883416476969,FL ,Y, , , , , ,Snow / Slush / Ice,"Other, see Narrative",Proceeding Straight,Unknown,66.8452514249943,Heavy Truck, ,Y,Y, , ,Y, , ,Unknown,Unknown,Yes,ADAS,No,Tesla,2013.9218164057472,79691.47410485805,Unknown,Yes,Fatality
Consumer,17:24,Dark - Not Lighted,Highway / Freeway,53.84608657911461,DE ,Y, , , , , ,Dry,No Unusual Conditions,Parking Maneuver,NM in Roadway - Other,3.6692276855612103,Motorcycle,Y, , ,Y,Y,Y,Y, ,Unknown,Unknown,Yes,ADAS,No,Tesla,2015.858462511744,71659.2956254919,Unknown,Yes,Fatality
Consumer,20:29,"Other, see Narrative",Intersection,26.317863721693023,CO ,Y, , , , , ,Unknown,"Other, see Narrative",Stopped,Proceeding Straight,4.987800308646017,Unknown,Y, , ,Y, , , ,Y,Unknown,Unknown,Unknown,ADAS,No,Tesla,2016.465041883747,66283.1708343757,Unknown,Unknown,Fatality
Consumer,17:22,"Other, see Narrative",Intersection,53.41966787669138,DE ,Y, , , , , ,Snow / Slush / Ice,Unknown,Parking Maneuver,Traveling Wrong Way,69.64706875006382,First Responder Vehicle, ,Y,Y, ,Y, ,Y, ,Unknown,Unknown,Yes,ADAS,No,Tesla,2014.7519368014298,73627.76872394056,Unknown,Unknown,Fatality
Consumer,22:12,Daylight,Parking Lot,29.264740520786123,DC ,Y, , , , , ,Dry,Traffic Incident,Proceeding Straight,Traveling Wrong Way,17.40244666264631,Non-Motorist: Cyclist, , ,Y,Y,Y,Y,Y, ,Unknown,Unknown,Yes,ADAS,No,Tesla,2018.0207319479039,67859.5075280271,Unknown,Unknown,Fatality
Consumer,17:57,Daylight,Parking Lot,30.307517910346643,FL ,Y, , , , , ,Dry,Traffic Incident,"Other, see Narrative",Parked,64.15927170069284,Heavy Truck, , ,Y,Y,Y,Y,Y,Y,Unknown,Unknown,Yes,ADAS,No,Tesla,2014.8827256317647,72290.01048328678,Unknown,Yes,Fatality
Consumer,18:41,Unknown,Intersection,26.008075467123835,FL ,Y, , , , , ,Unknown,"Other, see Narrative",Parking Maneuver,Traveling Wrong Way,63.82055926324735,"Other, see Narrative",Y, ,Y,Y, ,Y, ,Y,Unknown,Unknown,Yes,ADS,No,Tesla,2016.8044520063079,54358.82541654229,Unknown,Yes,Fatality
Consumer,13:00,Unknown,Parking Lot,48.35559411598009,DC ,Y, , , , , ,Snow / Slush / Ice,Traffic Incident,Proceeding Straight,Proceeding Straight,64.75741131924289,Heavy Truck, , , ,Y, ,Y,Y,Y,Unknown,Unknown,Yes,ADAS,No,Tesla,2015.004247979732,84016.6794569076,Unknown,Yes,Fatality
Consumer,Unknown,Daylight,Intersection,31.939100543522112,DC ,Y, , , , , ,Dry,No Unusual Conditions,Parking Maneuver,"Other, see Narrative",51.4542218727536,Other Fixed Object, , ,Y, ,Y,Y,Y, ,Unknown,Unknown,Yes,ADAS,No,Tesla,2015.7680970428364,47294.76418845612,Unknown,Unknown,Fatality
Consumer,20:22,Daylight,Highway / Freeway,37.835535377017536,CA ,Y, , , , , ,Dry,"Other, see Narrative","Other, see Narrative","Other, see Narrative",50.0172490601163,"Other, see Narrative",Y,Y, , ,Y,Y,Y, ,Unknown,Unknown,Yes,ADAS,No,Tesla,2019.044032275882,50807.51725666186,Unknown,Unknown,Fatality
Consumer,13:35,Dawn / Dusk,Highway / Freeway,32.74622511218369,CO ,Y, , , , , ,Dry,No Unusual Conditions,Parking Maneuver,Unknown,63.21910682806961,Motorcycle,Y, , ,Y,Y,Y,Y, ,Unknown,Unknown,Yes,ADAS,No,Tesla,2017.3368288887082,45565.11174641831,Unknown,Yes,Fatality
Consumer,19:45,Daylight,Intersection,26.84343982966549,CO ,Y, , , , , ,"Other, see Narrative",Unknown,Stopped,Unknown,31.567097839425745,Motorcycle,Y, , ,Y,Y,Y,Y,Y,Unknown,Unknown,Yes,ADAS,No,Tesla,2020.6322059677093,58748.76785293606,Unknown,Unknown,Fatality
Consumer,17:57,Daylight,Parking Lot,30.177099957278653,FL ,Y, , , , , ,Dry,Unknown,"Other, see Narrative",Parked,63.948537693488284,Heavy Truck,Y,Y,Y,Y,Y,Y,Y,Y,Unknown,Not Applicable,Yes,ADAS,No,Tesla,2014.9294458033169,72290.08686847819,Unknown,Yes,Fatality
Consumer,17:27,Daylight,Intersection,53.8390564538239,CO ,Y, , , , , ,"Other, see Narrative",Traffic Incident,Parking Maneuver,Passing,68.1992722864149,First Responder Vehicle, , , ,Y,Y, , , ,Unknown,Unknown,Yes,ADAS,No,Tesla,2014.1811781380989,76050.56881384921,Unknown,Yes,Fatality
Consumer,10:32,"Other, see Narrative",Traffic Circle,34.01651400904498,CA ,Y, , , , , ,Snow / Slush / Ice,Unknown,Unknown,Unknown,43.016179226446475,Unknown, ,Y, , , , , , ,Unknown,Yes,Yes,ADS,No,Tesla,2022.3734963512704,3428.850215238306,Unknown,Unknown,Fatality
Consumer,20:30,Unknown,Unknown,24.950678039303234,FL , , , , , , ,Unknown,Unknown,Unknown,Unknown,3.542898928223022,Unknown, , , , , , , , ,Unknown,Unknown,Unknown,ADAS,No,Tesla,2021.3052859298984,9374.32836258618,Unknown,Yes,Fatality
Consumer,Unknown,Unknown,Unknown,24.915455407351544,NY , , , , , , ,Unknown,Unknown,Unknown,Unknown,3.4873899650642333,Unknown, , , , , , , , ,Unknown,Unknown,Unknown,"Unknown, see Narrative",No,Tesla,2021.970021571268,9374.947788238993,Unknown,Unknown,Fatality
In-Vehicle (Commercial / Test),Unknown,Dark - Lighted,Highway / Freeway,24.960149845836167,DE ,Y, , , , , ,Dry,Unknown,Unknown,Unknown,3.35474324905347,Pole / Tree, , , , , , , , ,Yes,Unknown,Unknown,ADS,No,Tesla,2021.2864147755624,9380.6408483771,Unknown,Unknown,Fatality
Consumer,Unknown,Unknown,Unknown,25.063867504142085,SC , ,Y, , , , ,Unknown,Unknown,Unknown,Unknown,3.5394310920434786,SUV, , , , , , , , ,Unknown,Unknown,Yes,ADAS,No,Tesla,2021.5545329329257,9384.945153824785,Unknown,Yes,Fatality
Consumer,Unknown,Unknown,Unknown,24.82799984439089,FL , ,Y, , , , ,Unknown,Unknown,Unknown,Unknown,3.4976236918826618,Pole / Tree, , ,Y, , , , , ,Unknown,Unknown,Unknown,ADS,No,Tesla,2022.0008522995624,9375.123667985985,Unknown,Unknown,Fatality
Consumer,Unknown,Unknown,Unknown,25.128195676287795,DC , , , , , , ,Unknown,Unknown,Unknown,Unknown,3.571622565563344,SUV, , , , , , , , ,Unknown,Unknown,Unknown,ADAS,No,Tesla,2021.968213744399,9388.788517325691,Unknown,Unknown,Fatality
Consumer,Unknown,Unknown,Unknown,24.949562125980616,CA ,Y, , , , , ,Unknown,Unknown,Unknown,Unknown,3.427076381199814,Pole / Tree, , , , , , , , ,Unknown,Unknown,Unknown,ADS,No,Tesla,2022.0515444048704,9377.916456802843,Unknown,Yes,Fatality
Consumer,15:24,Daylight,Highway / Freeway,29.465544277011173,CA ,Y, , , , , ,Snow / Slush / Ice,Unknown,Stopped,NM in Roadway - Other,40.39559041815201,Pole / Tree, , , , , , , , ,Unknown,Unknown,Yes,ADS,No,Tesla,2021.9145629464092,6747.426978583293,Unknown,Unknown,Fatality
Consumer,Unknown,Unknown,Unknown,24.999637149854145,FL , , , ,Y, , ,Unknown,Unknown,Unknown,Unknown,3.5280256485757966,Pole / Tree, , , , ,Y, ,Y, ,Unknown,Unknown,Unknown,ADAS,No,Tesla,2021.6568574710773,9379.270222094994,Unknown,Unknown,Fatality
In-Vehicle (Commercial / Test),Unknown,Unknown,Unknown,24.930906835601608,CO , , , ,Y, , ,Unknown,Unknown,Unknown,Unknown,3.540830117772923,SUV, , , , , , , , ,Unknown,Unknown,Unknown,ADS,No,Tesla,2021.0314667865964,9374.873656236214,Unknown,Yes,Fatality
